individualID,DOB,Sex,mother,father,Maturity,ID_notes,neighborhood,community,Focal,ogFocal,goneBy2018
Porkpie,1/1/94,Male,,Parker,Independent,,central,central,1,1,0
Peterson,1/1/95,Male,Aretha,Garrison,Independent,,central,central,1,1,0
Django,1/1/97,Male,Betty,Dizzy,Independent,,central,central,1,1,0
Haden,1/1/99,Male,Lita,Rude,Independent,,central,central,1,1,0
Abrams,12/1/99,Male,Callas,Ornette,Independent,,central,central,1,1,0
Lovano,12/1/99,Male,Fitzgerald,Hodge,Independent,,central,central,1,1,0
Wilson,12/1/99,Male,Kidman,Bartok,Independent,,central,central,1,1,0
Barron,3/1/01,Male,Sutherland,Hodge,Independent,,central,central,1,1,0
Erroll,1/1/02,Male,Salome,Hare,Independent,,central,central,1,1,0
Booker,4/15/02,Male,Sills,Hodge,Independent,,central,central,1,1,0
Jarman,1/1/05,Male,Callas,Monk,Independent,,central,central,1,0,0
PeeWee,2/1/06,Male,Brunhilde,Mulligan,Independent,,central,central,1,0,0
Fleck,6/1/06,Male,Sarah,Getz,Independent,,central,central,1,0,0
Dylan,7/26/06,Male,Fitzgerald,Webster,Independent,,central,central,1,0,0
Cannonball,7/30/07,Male,Sigourney,Getz,Independent,,central,central,1,0,0
Orff,1/1/05,Male,Sutherland,Hare,Independent,,central,central,0,0,0
Mweya,1/1/62,Male,,,Independent,,central,central,0,0,1
Hare,1/1/69,Male,Hare-Mother,,Independent,,central,central,0,0,1
Ornette,1/1/77,Male,,,Independent,,central,central,0,0,1
Rahsaan,1/1/87,Male,Kundry,Pincer,Independent,,central,central,0,0,1
Susan,5/1/02,Female,Sigourney,Mweya,Independent,,central,central,0,0,1
Scarlet,9/1/04,Female,Jolie,Berg,Independent,,central,central,0,0,1
Hawkins,1/1/95,Male,Anderson,Hodge,Independent,,central-east,central,0,1,1
Jane,1/1/70,Female,,,Independent,,central-north,central,0,0,1
Stella,7/1/96,Female,,,Independent,,central-north,central,0,0,1
Anarkali,4/23/14,Female,Stella,,Dependent,,central-north,central,0,0,1
Anderson,1/1/74,Female,,,Independent,,east,central,0,0,1
Southpaw,1/1/93,Male,,,Independent,,east,central,0,0,1
Hawkins,1/1/95,Male,Anderson,Hodge,Independent,,east,central,0,0,1
Chingachgook,4/4/14,Male,Atwood,Mulligan,Dependent,,east,central,0,0,1
Cate.infant1,8/25/14,Unknown,Cate,,Dependent,,east,central,0,0,1
Benny,6/1/00,Male,Cecilia,Garrison,Independent,,west,west,1,1,1
Thornton,1/1/60,Female,,,Independent,,west,west,0,0,1
Cecilia,1/1/76,Female,,,Independent,,west,west,0,0,1
Lucia,1/1/86,Female,,,Independent,,west,west,0,0,1
Mansfield,10/1/90,Female,,,Independent,,west,west,0,0,1
Herbie,1/1/94,Male,,,Independent,,west,west,0,0,1
Samantha,1/1/96,Female,,,Independent,,west,west,0,0,1
Rosa,10/15/03,Female,Mansfield,Garrison,Independent,,west,west,0,0,1
Byrne,4/15/05,Female,Kundry,Brownface,Independent,,west,west,0,0,1
Elvira,2/13/12,Female,Bacall,Hutcherson,Dependent,,west,west,0,0,1
Kanawa,1/1/70,Female,,,Independent,,west-central,west,0,0,1
Dizzy,1/1/77,Male,,,Independent,,,central,0,0,1
Pilar,1/10/17,Female,,,Dependent,,,central,0,0,1
Sutherland,1/1/63,Female,,,Independent,,central,central,0,0,0
Lita,1/1/68,Female,,,Independent,,central,central,0,0,0
Fitzgerald,1/1/69,Female,,,Independent,,central,central,0,0,0
Monk,1/1/72,Male,Garbo,Rude,Independent,,central,central,0,0,0
Bartok,1/1/73,Male,Betty,,Independent,,central,central,0,0,0
Aretha,1/1/75,Female,,,Independent,,central,central,0,0,0
Sigourney,1/1/76,Female,,,Independent,,central,central,0,0,0
Leonora,1/1/77,Female,,,Independent,,central,central,0,0,0
Sarah,1/1/77,Female,,,Independent,,central,central,0,0,0
Miles,1/1/81,Male,,Rude,Independent,,central,central,0,0,0
Bartoli,1/1/83,Female,,,Independent,1/1/84,central,central,0,0,0
Basie,1/1/83,Male,Betty,,Independent,,central,central,0,0,0
Morton,1/1/84,Male,Hare-Mother,,Independent,,central,central,0,0,0
Jolie,1/1/85,Female,,,Independent,1/1/88,central,central,0,0,0
Callas,12/1/85,Female,,,Independent,,central,central,0,0,0
Garett,1/1/89,Male,Sutherland,Brownface,Independent,,central,central,0,0,0
Carter,1/1/90,Male,Aretha,,Independent,,central,central,0,0,0
Jackson,1/1/91,Male,Cecilia,Rude,Independent,,central,central,0,0,0
Ingrid,6/1/91,Female,,,Independent,7/6/93,central,central,0,0,0
Amelia,9/20/94,Female,,,Independent,,central,central,0,0,0
Fiona,1/1/97,Female,,,Independent,,central,central,0,0,0
Christine,3/1/99,Female,,,Independent,,central,central,0,0,0
Hester,10/5/01,Female,,,Independent,,central,central,0,0,0
Baez,11/1/01,Female,,,Independent,Wide eared ; white sclera in left eye?; black skin under eyes like Abrams ,central,central,0,0,0
Ruth,3/12/02,Female,,,Independent,Ears like Harper; sort of mix between rosa and mystery central ; I saw her march 10 at m/15,central,central,0,0,0
Fisher,12/26/03,Female,,,Independent,,central,central,0,0,0
Powell,1/1/06,Male,Merrill,Berg,Independent,,central,central,0,0,0
Frida,2/1/09,Female,Aretha,Hodge,Dependent,,central,central,0,0,0
Ava,6/10/09,Female,Carmen,Miles,Dependent,big belly button,central,central,0,0,0
Clayton,2/1/10,Male,Ingrid,Jackson,Dependent,,central,central,0,0,0
Susanna,5/1/10,Female,Amelia,Mulligan,Dependent,,central,central,0,0,0
Zawinul,12/12/10,Male,Jolie,Carter,Dependent,,central,central,0,0,0
Naidu,3/9/11,Female,Sutherland,Bartok,Dependent,,central,central,0,0,0
Toshi,7/20/11,Male,Callas,Jackson,Dependent,,central,central,0,0,0
Fricka,12/12/11,Female,Sigourney,Cash,Dependent,,central,central,0,0,0
Salonen,6/1/12,Male,Sarah,Ornette,Dependent,,central,central,0,0,0
Nadine,10/17/13,Unknown,Christine,Cash,Dependent,,central,central,0,0,0
Varda,11/15/14,Female,Ingrid,Peterson,Dependent,,central,central,0,0,0
Herzog,2/5/15,Male,Bartoli,Jackson,Dependent,,central,central,0,0,0
Muhammad.Ali,6/6/15,Male,Lita,,Dependent,,central,central,0,0,0
Kabacwezi,10/25/16,Female,Jolie,Peterson,Dependent,,central,central,0,0,0
Amelia.infant1,10/31/17,Unknown,Amelia,,Dependent,,central,central,0,0,0
Baez.infant1,11/7/17,Unknown,Baez,,Dependent,,central,central,0,0,0
Hester.infant,12/3/17,Unknown,Hester,,Dependent,,central,central,0,0,0
Ruth.infant,1/29/18,Unknown,Ruth,,Dependent,,central,central,0,0,0
Kofi,2/23/18,Male,Fiona,,Dependent,,central,central,0,0,0
Kano,3/6/18,Male,Callas,,Dependent,,central,central,0,0,0
Huxley,3/30/18,Male,Christine,,Dependent,,central,central,0,0,0
Baez.infant2,12/7/18,Unknown,Baez,,Dependent,,central,central,0,0,0
Evans,1/1/96,Male,Sills,Bartok,Independent,,central-east,central,1,1,0
Hicks,1/1/97,Male,Harper,Hare,Independent,,central-east,central,1,1,0
Elton,1/1/05,Male,Kidman,Lofty,Independent,,central-east,central,1,0,0
Gus,2/2/07,Male,Sills,Berg,Independent,,central-east,central,1,0,0
