Dyad,FocalID,IndividualID,Father,Mat_Bro,Pat_Bro,Family,Focal_age,ID2_age,Age_Diff,Total_Scans,Total_Hours,Total_Minutes,Total_Follows,tally_Within1,tally_One_Five,Within_Five,Five_Twenty,AlloGr,MutlGr,RecvGr,Groom,Association
Abrams_Dylan,Abrams,Dylan,NoDad,NoBro,NoBro,Unrelated,14.76,8.11,-6.65,297,42.85,2571,45,0,5,5,0,0,0,0,0,13
Barron_Dylan,Barron,Dylan,NoDad,NoBro,NoBro,Unrelated,13.51,8.11,-5.4,283,41.91,2514.6,45,0,1,1,2,0,0,0,0,10
Benny_Dylan,Benny,Dylan,NoDad,NoBro,NoBro,Unrelated,14.26,8.11,-6.15,314,43.22,2593.2,45,0,0,0,0,0,0,0,0,2
Booker_Dylan,Booker,Dylan,NoDad,NoBro,NoBro,Unrelated,12.39,8.11,-4.28,305,43.99,2639.4,46,0,1,1,1,0,0,0,0,15
Buckner_Dylan,Buckner,Dylan,NoDad,NoBro,NoBro,Unrelated,14.68,8.11,-6.57,298,41.71,2502.6,45,0,0,0,0,0,0,0,0,2
Django_Dylan,Django,Dylan,NoDad,NoBro,NoBro,Unrelated,17.68,8.11,-9.57,309,44.26,2655.6,46,0,0,0,2,0,0,0,0,10
Erroll_Dylan,Erroll,Dylan,NoDad,NoBro,NoBro,Unrelated,12.67,8.11,-4.56,314,46.36,2781.6,48,0,0,0,2,0,0,0,0,9
Evans_Dylan,Evans,Dylan,NoDad,NoBro,NoBro,Unrelated,18.68,8.11,-10.57,313,45.11,2706.6,47,0,1,1,3,0,0,0,0,8
Haden_Dylan,Haden,Dylan,NoDad,NoBro,NoBro,Unrelated,15.68,8.11,-7.57,313,43.21,2592.6,46,0,1,1,2,0,0,0,0,14
Hawkins_Dylan,Hawkins,Dylan,NoDad,NoBro,NoBro,Unrelated,19.68,8.11,-11.57,248,35.25,2115,38,0,0,0,0,0,0,0,0,3
Hicks_Dylan,Hicks,Dylan,NoDad,NoBro,NoBro,Unrelated,17.68,8.11,-9.57,325,47.07,2824.2,50,0,1,1,3,0,0,0,0,12
Lovano_Dylan,Lovano,Dylan,NoDad,MatBro,NoBro,MatBro,14.93,8.11,-6.82,310,44.5,2670,46,0,6,6,14,0.23,0,0,0.23,23
Mitchell_Dylan,Mitchell,Dylan,NoDad,NoBro,NoBro,Unrelated,15.68,8.11,-7.57,252,35.89,2153.4,38,0,0,0,0,0,0,0,0,5
Peterson_Dylan,Peterson,Dylan,NoDad,NoBro,NoBro,Unrelated,19.68,8.11,-11.57,289,40.94,2456.4,43,1,1,2,2,0,0,0.25,0.25,10
Porkpie_Dylan,Porkpie,Dylan,NoDad,NoBro,NoBro,Unrelated,20.68,8.11,-12.57,300,43.38,2602.8,45,0,0,0,2,0,0,0,0,8
Wayne_Dylan,Wayne,Dylan,NoDad,NoBro,NoBro,Unrelated,18.68,8.11,-10.57,300,43.77,2626.2,45,0,1,1,0,0,0,0,0,1
Wes_Dylan,Wes,Dylan,NoDad,NoBro,NoBro,Unrelated,17.26,8.11,-9.15,316,43.43,2605.8,46,0,0,0,0,0,0,0,0,1
Wilson_Dylan,Wilson,Dylan,NoDad,NoBro,NoBro,Unrelated,14.76,8.11,-6.65,321,46.98,2818.8,48,0,0,0,0,0,0,0,0,6
Abrams_Elton,Abrams,Elton,NoDad,NoBro,NoBro,Unrelated,14.76,8.11,-6.65,297,42.85,2571,45,0,0,0,0,0,0,0,0,2
Barron_Elton,Barron,Elton,NoDad,NoBro,NoBro,Unrelated,13.51,8.11,-5.4,283,41.91,2514.6,45,0,0,0,0,0,0,0,0,4
Benny_Elton,Benny,Elton,NoDad,NoBro,NoBro,Unrelated,14.26,8.11,-6.15,314,43.22,2593.2,45,0,0,0,0,0,0,0,0,0
Booker_Elton,Booker,Elton,NoDad,NoBro,NoBro,Unrelated,12.39,8.11,-4.28,305,43.99,2639.4,46,0,2,2,1,0,0,0,0,5
Buckner_Elton,Buckner,Elton,NoDad,NoBro,NoBro,Unrelated,14.68,8.11,-6.57,298,41.71,2502.6,45,0,0,0,0,0,0,0,0,1
Django_Elton,Django,Elton,NoDad,NoBro,NoBro,Unrelated,17.68,8.11,-9.57,309,44.26,2655.6,46,0,1,1,3,0,0,0,0,4
Erroll_Elton,Erroll,Elton,NoDad,NoBro,NoBro,Unrelated,12.67,8.11,-4.56,314,46.36,2781.6,48,0,0,0,0,0,0,0,0,0
Evans_Elton,Evans,Elton,NoDad,NoBro,NoBro,Unrelated,18.68,8.11,-10.57,313,45.11,2706.6,47,0,0,0,1,0,0,0,0,6
Haden_Elton,Haden,Elton,NoDad,NoBro,NoBro,Unrelated,15.68,8.11,-7.57,313,43.21,2592.6,46,0,0,0,0,0,0,0,0,4
Hawkins_Elton,Hawkins,Elton,NoDad,NoBro,NoBro,Unrelated,19.68,8.11,-11.57,248,35.25,2115,38,1,1,2,7,0,0,10.68,10.68,13
Hicks_Elton,Hicks,Elton,NoDad,NoBro,NoBro,Unrelated,17.68,8.11,-9.57,325,47.07,2824.2,50,0,0,0,0,0,0,0,0,4
Lovano_Elton,Lovano,Elton,NoDad,NoBro,NoBro,Unrelated,14.93,8.11,-6.82,310,44.5,2670,46,0,0,0,0,0,0,0,0,1
Mitchell_Elton,Mitchell,Elton,NoDad,NoBro,NoBro,Unrelated,15.68,8.11,-7.57,252,35.89,2153.4,38,0,1,1,6,0,0,0,0,13
Peterson_Elton,Peterson,Elton,NoDad,NoBro,NoBro,Unrelated,19.68,8.11,-11.57,289,40.94,2456.4,43,1,0,1,2,0,0,0,0,2
Porkpie_Elton,Porkpie,Elton,NoDad,NoBro,NoBro,Unrelated,20.68,8.11,-12.57,300,43.38,2602.8,45,0,0,0,0,0,0,0,0,2
Wayne_Elton,Wayne,Elton,NoDad,NoBro,NoBro,Unrelated,18.68,8.11,-10.57,300,43.77,2626.2,45,0,0,0,0,0,0,0,0,0
Wes_Elton,Wes,Elton,NoDad,NoBro,NoBro,Unrelated,17.26,8.11,-9.15,316,43.43,2605.8,46,0,0,0,0,0,0,0,0,1
Wilson_Elton,Wilson,Elton,NoDad,MatBro,NoBro,MatBro,14.76,8.11,-6.65,321,46.98,2818.8,48,2,2,4,0,0.2,0,0,0.2,5
Abrams_Damien,Abrams,Damien,NoDad,NoBro,NoBro,Unrelated,14.76,8.18,-6.58,297,42.85,2571,45,0,1,1,2,0,0,0,0,8
Barron_Damien,Barron,Damien,NoDad,NoBro,NoBro,Unrelated,13.51,8.18,-5.33,283,41.91,2514.6,45,0,0,0,2,0,0,0,0,9
Benny_Damien,Benny,Damien,NoDad,NoBro,NoBro,Unrelated,14.26,8.18,-6.08,314,43.22,2593.2,45,0,0,0,1,0,0,0,0,18
Booker_Damien,Booker,Damien,NoDad,NoBro,NoBro,Unrelated,12.39,8.18,-4.21,305,43.99,2639.4,46,0,0,0,3,0,0,0,0,3
Buckner_Damien,Buckner,Damien,NoDad,NoBro,NoBro,Unrelated,14.68,8.18,-6.5,298,41.71,2502.6,45,0,0,0,2,0,0,0,0,19
Django_Damien,Django,Damien,NoDad,NoBro,NoBro,Unrelated,17.68,8.18,-9.5,309,44.26,2655.6,46,0,0,0,0,0,0,0,0,3
Erroll_Damien,Erroll,Damien,NoDad,NoBro,NoBro,Unrelated,12.67,8.18,-4.49,314,46.36,2781.6,48,0,5,5,3,0,0,0,0,3
Evans_Damien,Evans,Damien,NoDad,NoBro,NoBro,Unrelated,18.68,8.18,-10.5,313,45.11,2706.6,47,0,0,0,0,0,0,0,0,0
Haden_Damien,Haden,Damien,NoDad,NoBro,NoBro,Unrelated,15.68,8.18,-7.5,313,43.21,2592.6,46,0,0,0,1,0,0,0,0,2
Hawkins_Damien,Hawkins,Damien,NoDad,NoBro,NoBro,Unrelated,19.68,8.18,-11.5,248,35.25,2115,38,0,0,0,0,0,0,0,0,1
Hicks_Damien,Hicks,Damien,NoDad,NoBro,NoBro,Unrelated,17.68,8.18,-9.5,325,47.07,2824.2,50,0,0,0,2,0,0,0,0,2
Lovano_Damien,Lovano,Damien,NoDad,NoBro,NoBro,Unrelated,14.93,8.18,-6.75,310,44.5,2670,46,0,0,0,0,0,0,0,0,4
Mitchell_Damien,Mitchell,Damien,NoDad,NoBro,NoBro,Unrelated,15.68,8.18,-7.5,252,35.89,2153.4,38,0,0,0,0,0,0,0,0,0
Peterson_Damien,Peterson,Damien,NoDad,NoBro,NoBro,Unrelated,19.68,8.18,-11.5,289,40.94,2456.4,43,0,0,0,7,0,0,0,0,11
Porkpie_Damien,Porkpie,Damien,NoDad,NoBro,NoBro,Unrelated,20.68,8.18,-12.5,300,43.38,2602.8,45,0,0,0,0,0,0,0,0,1
Wayne_Damien,Wayne,Damien,NoDad,NoBro,NoBro,Unrelated,18.68,8.18,-10.5,300,43.77,2626.2,45,0,1,1,4,0,0,2.67,2.67,19
Wes_Damien,Wes,Damien,NoDad,NoBro,NoBro,Unrelated,17.26,8.18,-9.08,316,43.43,2605.8,46,0,0,0,1,0,0,0,0,22
Wilson_Damien,Wilson,Damien,NoDad,NoBro,NoBro,Unrelated,14.76,8.18,-6.58,321,46.98,2818.8,48,1,0,1,1,0,0,2.15,2.15,3
Abrams_Fleck,Abrams,Fleck,NoDad,NoBro,NoBro,Unrelated,14.76,8.26,-6.5,297,42.85,2571,45,0,1,1,4,0,0,0.27,0.27,11
Barron_Fleck,Barron,Fleck,NoDad,NoBro,NoBro,Unrelated,13.51,8.26,-5.25,283,41.91,2514.6,45,0,0,0,0,0,0,0,0,6
Benny_Fleck,Benny,Fleck,NoDad,NoBro,NoBro,Unrelated,14.26,8.26,-6,314,43.22,2593.2,45,0,0,0,0,0,0,0,0,1
Booker_Fleck,Booker,Fleck,NoDad,NoBro,NoBro,Unrelated,12.39,8.26,-4.13,305,43.99,2639.4,46,0,0,0,1,0,0,0,0,11
Buckner_Fleck,Buckner,Fleck,NoDad,NoBro,NoBro,Unrelated,14.68,8.26,-6.42,298,41.71,2502.6,45,0,0,0,0,0,0,0,0,2
Django_Fleck,Django,Fleck,NoDad,NoBro,NoBro,Unrelated,17.68,8.26,-9.42,309,44.26,2655.6,46,2,2,4,1,0,0,0.3,0.3,12
Erroll_Fleck,Erroll,Fleck,NoDad,NoBro,NoBro,Unrelated,12.67,8.26,-4.41,314,46.36,2781.6,48,0,0,0,0,0,0,0,0,6
Evans_Fleck,Evans,Fleck,NoDad,NoBro,NoBro,Unrelated,18.68,8.26,-10.42,313,45.11,2706.6,47,0,0,0,0,0,0,0,0,5
Haden_Fleck,Haden,Fleck,NoDad,NoBro,NoBro,Unrelated,15.68,8.26,-7.42,313,43.21,2592.6,46,1,0,1,0,0,0,0,0,11
Hawkins_Fleck,Hawkins,Fleck,NoDad,NoBro,NoBro,Unrelated,19.68,8.26,-11.42,248,35.25,2115,38,0,0,0,0,0,0,0,0,3
Hicks_Fleck,Hicks,Fleck,NoDad,NoBro,NoBro,Unrelated,17.68,8.26,-9.42,325,47.07,2824.2,50,2,2,4,1,0,0,0,0,13
Lovano_Fleck,Lovano,Fleck,NoDad,NoBro,NoBro,Unrelated,14.93,8.26,-6.67,310,44.5,2670,46,0,0,0,1,0,0,0,0,10
Mitchell_Fleck,Mitchell,Fleck,NoDad,NoBro,NoBro,Unrelated,15.68,8.26,-7.42,252,35.89,2153.4,38,0,0,0,0,0,0,0,0,2
Peterson_Fleck,Peterson,Fleck,NoDad,NoBro,NoBro,Unrelated,19.68,8.26,-11.42,289,40.94,2456.4,43,0,0,0,2,0,0,0,0,14
Porkpie_Fleck,Porkpie,Fleck,NoDad,NoBro,NoBro,Unrelated,20.68,8.26,-12.42,300,43.38,2602.8,45,0,0,0,6,0,0,0,0,9
Wayne_Fleck,Wayne,Fleck,NoDad,NoBro,NoBro,Unrelated,18.68,8.26,-10.42,300,43.77,2626.2,45,0,0,0,4,0,0,0,0,3
Wes_Fleck,Wes,Fleck,NoDad,NoBro,NoBro,Unrelated,17.26,8.26,-9,316,43.43,2605.8,46,0,0,0,0,0,0,0,0,1
Wilson_Fleck,Wilson,Fleck,NoDad,NoBro,NoBro,Unrelated,14.76,8.26,-6.5,321,46.98,2818.8,48,0,1,1,2,0,0,0,0,8
Abrams_PeeWee,Abrams,PeeWee,NoDad,NoBro,NoBro,Unrelated,14.76,8.59,-6.17,297,42.85,2571,45,0,2,2,3,0,0,0,0,15
